question_id,category,raw_category,model,category_score,hallucination,hallucination_evidence,latency_seconds,prompt_tokens,output_tokens,total_tokens,judge_model,test_environment_status,test_environment_error,affected_component,answer_correctness,behavior_preservation,completeness,correctness,dependency_correctness,exact_retrieval,fix,flow_completeness,groundedness,hallucination_free,readability,reasoning,relevance,retrieval_quality,root_cause,syntax_validity,test_pass_rate
E01,Explanation,Explanation,codellama:7b-instruct,75.00000000000001,False,,82.552,1810,393,2203,llama3.1:8b,,,,,,50,75,,,,,,100,,,100,,,,
E02,Explanation,Explanation,codellama:7b-instruct,82.50000000000001,False,,42.429,2077,172,2249,llama3.1:8b,,,,,,75,75,,,,,,100,,,100,,,,
E03,Explanation,Explanation,codellama:7b-instruct,100.00000000000001,False,,43.375,1959,192,2151,llama3.1:8b,,,,,,100,100,,,,,,100,,,100,,,,
E04,Explanation,Explanation,codellama:7b-instruct,75.00000000000001,False,,69.076,2024,339,2363,llama3.1:8b,,,,,,50,75,,,,,,100,,,100,,,,
CR01,Code Retrieval,Code Retrieval,codellama:7b-instruct,100.00000000000001,False,,18.117,2099,27,2126,llama3.1:8b,,,,,,,,,100,,,,100,,,100,,,,
CR02,Code Retrieval,Code Retrieval,codellama:7b-instruct,100.00000000000001,False,,19.284,1994,42,2036,llama3.1:8b,,,,,,,,,100,,,,100,,,100,,,,
CR03,Code Retrieval,Code Retrieval,codellama:7b-instruct,27.500000000000004,False,,19.832,1907,38,1945,llama3.1:8b,,,,,,,,,33,,,,100,,,0,,,,
CR04,Code Retrieval,Code Retrieval,codellama:7b-instruct,45.00000000000001,False,,67.706,1766,327,2093,llama3.1:8b,,,,,,,,,40,,,,100,,,0,,,,
DU01,Dependency Understanding,Dependency Understanding,codellama:7b-instruct,0.0,True,"The model answer claims that the service that `retrieval_service.py` depends on to create the query embedding is the `embedding_service.py` file, but there is no evidence in the repository to support this claim. The `retrieval_service.py` file is not even mentioned in the repository evidence.",36.028,1820,144,1964,llama3.1:8b,,,,,,,,0,,,0,,0,,0,,,,,
DU02,Dependency Understanding,Dependency Understanding,codellama:7b-instruct,10.000000000000002,False,,63.217,1882,298,2180,llama3.1:8b,,,,,,,,0,,,0,,100,,0,,,,,
DU03,Dependency Understanding,Dependency Understanding,codellama:7b-instruct,60.00000000000001,False,,53.164,1658,254,1912,llama3.1:8b,,,,,,,,75,,,50,,100,,25,,,,,
DU04,Dependency Understanding,dependency_failure,codellama:7b-instruct,0.0,True,"The model answer claims that the retrieval pipeline in retrieval_service.py and evaluation_lab_service.py would be affected, but there is no evidence in the repository to support this claim.",87.257,2021,414,2435,llama3.1:8b,,,,,,,,0,,,0,,0,,0,,,,,
BA01,Bug Analysis,Bug Analysis,codellama:7b-instruct,41.25,False,,57.518,1782,248,2030,llama3.1:8b,,,0,,,,,,,0,,,100,,50,,,75,,
BA02,Bug Analysis,dependency_error,codellama:7b-instruct,80.0,False,,43.505,1842,167,2009,llama3.1:8b,,,100,,,,,,,75,,,100,,50,,,75,,
BA03,Bug Analysis,retrieval_bug,codellama:7b-instruct,0.0,True,The answer mentions 'incorrect implementation of the retrieval system' and 'incorrect input parameters' without any evidence from the repository. The repository only shows the retrieval system's code and does not indicate any issues with the implementation or input parameters.,62.787,1922,290,2212,llama3.1:8b,,,0,,,,,,,0,,,0,,0,,,0,,
BA04,Bug Analysis,logic_bug,codellama:7b-instruct,10.0,False,,60.144,1989,257,2246,llama3.1:8b,,,0,,,,,,,0,,,100,,0,,,0,,
CG01,Code Generation,Code Generation,codellama:7b-instruct,40.0,False,,105.4,1938,500,2438,llama3.1:8b,no_code,No code extracted,,,,,100,,,,,,,,,100,,,,0
CG02,Code Generation,Code Generation,codellama:7b-instruct,33.75,False,,39.529,1601,168,1769,llama3.1:8b,no_function,No candidate function found,,,,,75,,,,,,,,,100,,,,0.0
CG03,Code Generation,Code Generation,codellama:7b-instruct,0.0,False,,14.908,1762,18,1780,llama3.1:8b,failed,No GET /health route found,,,,,0,,,,,,,,,0,,,,0.0
CG04,Code Generation,Code Generation,codellama:7b-instruct,0.0,True,"The model answer assumes the implementation of the `cosine_similarity()` function is correct and returns the correct similarity score for the given input vectors, which is not supported by the provided repository evidence.",72.438,1823,347,2170,llama3.1:8b,failed,"Traceback (most recent call last):
  File ""C:\Users\muska\AppData\Local\Temp\tmp8c0h0klg\cg04_runner.py"", line 20, in <module>
    test_cosine_similarity()
  File ""C:\Users\muska\AppData\Local\Temp\tmp8c0h0klg\cg04_runner.py"", line 19, in test_cosine_similarity
    assert cosine_similarity(a, b) == 0.81
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",,,,,0,,,,,,,,,0,,,,0.0
RF01,Refactoring,Refactoring,codellama:7b-instruct,0.0,True,"The model answer describes the RAG as a feature that retrieves relevant policy documents and generates answers to user questions, which is not supported by the provided repository evidence.",81.734,1870,392,2262,llama3.1:8b,,,,,0,,,,,,,,,0,,0,,,0,
RF02,Refactoring,Refactoring,codellama:7b-instruct,95.0,False,,52.825,1764,239,2003,llama3.1:8b,,,,,100,,,,,,,,,75,,100,,,100,
